358,Margherita,4
359,Mariani,4
360,Marigaon,4
361,Moran Town,4
362,Moranhat,4
363,Nagaon,4
364,Naharkatiya,4
365,Nalbari,4
366,Namrup,4
367,Naubaisa Gaon,4
368,Nazira,4
369,New Bongaigaon Rly. Colony,4
370,North Guwahati,4
371,North Lakhimpur,4
372,Numaligarh Refinery Township,4
373,Palasbari,4
374,Pathsala,4
375,Rangapara,4
376,Rangia,4
377,Salakati,4
378,Sapatgram,4
379,Sarbhog,4
380,Sarthebari,4
381,Sarupathar,4
382,Sarupathar Bengali,4
383,Senchoa Gaon,4
384,Sibsagar,4
385,Silapathar,4
386,Silchar,4
387,Silchar Part-X,4
388,Sonari,4
389,Sualkuchi,4
390,Tangla,4
391,Tezpur,4
392,Tihu,4
393,Tinsukia,4
394,Titabor Town,4
395,Udalguri,4
396,Umrangso,4
397,Uttar Krishnapur Part-I,4
398,Amarpur,5
399,Araria,5
400,Areraj,5
401,Arrah,5
402,Asarganj,5
403,Aurangabad,5
404,Bagaha,5
405,Bahadurganj,5
406,Bairgania,5
407,Bakhtiarpur,5
408,Banka,5
409,Banmankhi Bazar,5
410,Barahiya,5
411,Barauli,5
412,Barauni IOC Township,5
413,Barbigha,5
414,Barh,5
415,Begusarai,5
416,Behea,5
417,Belsand,5
418,Bettiah,5
419,Bhabua,5
420,Bhagalpur (M.Corp),5
421,Bihar,5
422,Bikramganj,5
423,Birpur,5
424,Bodh Gaya,5
425,Buxar,5
426,Chakia,5
427,Chanpatia,5
428,Chapra,5
429,Colgong,5
430,Dalsinghsarai,5
431,Darbhanga,5
432,Daudnagar,5
433,Dehri,5
434,Dhaka,5
435,Dighwara,5
436,Dinapur Cantt.,5
437,Dinapur Nizamat,5
438,Dumra,5
439,Dumraon,5
440,Fatwah,5
441,Forbesganj,5
442,Gaya,5
443,Ghoghardiha,5
444,Gogri Jamalpur,5
445,Gopalganj,5
446,Habibpur,5
447,Hajipur,5
448,Hilsa,5
449,Hisua,5
450,Islampur,5
451,Jagdishpur,5
452,Jainagar,5
453,Jamalpur,5
454,Jamhaur,5
455,Jamui,5
456,Janakpur Road,5
457,Jehanabad,5
458,Jhajha,5
459,Jhanjharpur,5
460,Jogbani,5
461,Kanti,5
462,Kasba,5
463,Kataiya,5
464,Katihar,5
465,Khagaria,5
466,Khagaul,5
467,Kharagpur,5
468,Khusrupur,5
469,Kishanganj,5
470,Koath,5
471,Koilwar,5
472,Lakhisarai,5
473,Lalganj,5
474,Lauthaha,5
475,Madhepura,5
476,Madhubani,5
477,Maharajganj,5
478,Mahnar Bazar,5
479,Mairwa,5
480,Makhdumpur,5
481,Maner,5
482,Manihari,5
483,Marhaura,5
484,Masaurhi,5
485,Mirganj,5
486,Mohiuddinagar,5
487,Mokameh,5
488,Motihari,5
489,Motipur,5
490,Munger,5
491,Murliganj,5
492,Muzaffarpur,5
493,Nabinagar,5
494,Narkatiaganj,5
495,Naugachhia,5
496,Nawada,5
497,Nirmali,5
498,Nokha,5
499,Paharpur,5
500,Patna,5
501,Phulwari Sharif,5
502,Piro,5
503,Purnia,5
504,Rafiganj,5
505,Raghunathpur,5
506,Rajgir,5
507,Ramnagar,5
508,Raxaul Bazar,5
509,Revelganj,5
510,Rosera,5
511,Saharsa,5
512,Samastipur,5
513,Sasaram,5
514,Shahpur,5
515,Sheikhpura,5
516,Sheohar,5
517,Sherghati,5
518,Silao,5
519,Sitamarhi,5
520,Siwan,5
521,Sonepur,5
522,Sugauli,5
523,Sultanganj,5
524,Supaul,5
525,Tekari,5
526,Thakurganj,5
527,Warisaliganj,5
528,Chandigarh,6
529,Ahiwara,7
530,Akaltara,7
531,Ambagarh Chowki,7
532,Ambikapur,7
533,Arang,7
534,Bade Bacheli,7
535,Bagbahara,7
536,Baikunthpur,7
537,Balod,7
538,Baloda,7
539,Baloda Bazar,7
540,Banarsi,7
541,Basna,7
542,Bemetra,7
543,Bhanpuri,7
544,Bhatapara,7
545,Bhatgaon,7
546,Bhilai Charoda,7
547,Bhilai Nagar,7
548,Bilaspur,7
549,Bilha,7
550,Birgaon,7
551,Bodri,7
552,Champa,7
553,Chharchha,7
554,Chhuikhadan,7
555,Chirmiri,7
556,Dalli-Rajhara,7
557,Dantewada,7
558,Deori,7
559,Dhamdha,7
560,Dhamtari,7
561,Dharamjaigarh,7
562,Dipka,7
563,Dongargaon,7
564,Dongragarh,7
565,Durg,7
566,Frezarpur,7
567,Gandai,7
568,Gaurella,7
569,Geedam,7
570,Gharghoda,7
571,Gobranawapara,7
572,Gogaon,7
573,Hatkachora,7
574,Jagdalpur,7
575,Jamul,7
576,Jashpur nagar,7
577,Jhagrakhand,7
578,Kanker,7
579,Katghora,7
580,Kawardha,7
581,Khairagarh,7
582,Khamhria,7
583,Kharod,7
584,Kharsia,7
585,Khongapani,7
586,Kirandul,7
587,Kondagaon,7
588,Korba,7
589,Kota,7
590,Kumhari,7
591,Kurud,7
592,Lingiyadih,7
593,Lormi,7
594,Mahasamund,7
595,Manendragarh,7
596,Mehmand,7
597,Mowa,7
598,Mungeli,7
599,Naila Janjgir,7
600,Namna Kalan,7
601,Naya Baradwar,7
602,Pandariya,7
603,Patan,7
604,Pathalgaon,7
605,Pendra,7
606,Phunderdihari,7
607,Pithora,7
608,Raigarh,7
609,Raipur,7
610,Rajgamar,7
611,Rajnandgaon,7
612,Ramanujganj,7
613,Ratanpur,7
614,Sakti,7
615,Saraipali,7
616,Sarangarh,7
617,Shivrinarayan,7
618,Simga,7
619,Sirgiti,7
620,Surajpur,7
621,Takhatpur,7
622,Telgaon,7
623,Tilda Newra,7
624,Urla,7
625,Vishrampur,7
626,Amli,8
627,Silvassa,8
628,Daman,9
629,Diu,9
630,Ali Pur,10
631,Asola,10
632,Babar Pur,10
633,Bankner,10
634,Bawana,10
635,Begum Pur,10
636,Bhalswa Jahangir Pur,10
637,Bhati,10
638,Burari,10
639,Chhawla,10
640,Chilla Saroda Bangar,10
641,Dallo Pura,10
642,Dayal Pur,10
643,Delhi Cantt.,10
644,Delhi Municipal Corporation (U),10
645,Deoli,10
